RovbaseID,Funnetdato,Undersøkt,Undersøktdato,Meldt til,Mottattdato,Skadetype,"Skadetype, annet",Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Merke,"Merke, tekst",Registreringsnummer,Skadeårsak,"Skadeårsak, annet",Skadested,Beiteområde,Kontrollstatus,Vurdering,Melding om registrert skade er sendt til eier,Eier tilstede ved skadeundersøkelse,Eier orientert,Dato orientert,KommuneID,Funnsted,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Godkjentdato,Følsomhet,Frigivelsesdato,Låst,Låst av,Låstdato,Sist lagret dato,Kommunenummer,Kommune,Fylkenummer,Fylke,Number of injured or killed or missing sheep,Year
KA70001,1997.05.13,Ja,1997.05.14,,,Får,,Annan, ,1997.05.13,1997.05.13,Nej,Hane,Över 2 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel, ,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-3101,Bokerød,6542493,309828,6542493,309828,6547056,1263492,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.10.03,1-3101,Halden (N),1-31,Østfold (N),1,1997
KP70189,1997.05.25,Ja,1997.05.26,,,Får,,Norsk kvit sau, ,1997.05.25,1997.05.25,Nej,Hona,Över 2 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel,Innmark,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-5022,Lia,6967258,245314,6967258,245314,6972866,1204171,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.06.27,1-5022,Rennebu (N),1-50,Trøndelag (N),1,1997
KA70002,1997.05.26,Ja,1997.05.26,,,Får,,Annan, ,1997.05.25,1997.05.25,Nej,Hona,Över 2 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel, ,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-3101,"Elvestad, Bokerød",6543914,309654,6543914,309654,6548480,1263335,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.10.03,1-3101,Halden (N),1-31,Østfold (N),1,1997
KP70188,1997.05.27,Ja,1997.05.27,,,Får,,Norsk kvit sau, ,1997.05.27,1997.05.27,Nej,Hona,Över 2 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel,Innmark - Finnfjellet Beitelag,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-5022,Lia,6967439,245532,6967439,245532,6973045,1204392,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.06.27,1-5022,Rennebu (N),1-50,Trøndelag (N),1,1997
KA70004,1997.06.07,Ja,1997.06.07,,,Får,,Annan, ,1997.06.07,1997.06.07,Nej,Hona,Över 2 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel, ,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-3101,"Elvestad, Bokerød",6544131,309473,6544131,309473,6548699,1263156,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.10.03,1-3101,Halden (N),1-31,Østfold (N),1,1997
KA70005,1997.06.07,Ja,1997.06.08,,,Får,,Annan, ,1997.06.07,1997.06.07,Nej,Hona,Över 2 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel, ,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-3101,Elvestad,6544231,309482,6544231,309482,6548799,1263167,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.10.03,1-3101,Halden (N),1-31,Østfold (N),1,1997
KP70166,1997.06.16,Ja,,,,Får,,Spel,,1997.06.15,1997.06.15,Nej,Hane,Under 1 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel,Krogstadsætra,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-5029,,7016439,248240,7016439,248240,7022040,1207717,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2001.05.28,1-5029,Skaun (N),1-50,Trøndelag (N),1,1997
KP70167,1997.06.16,Ja,1997.06.17,,,Får,,Spel, ,1997.06.15,1997.06.15,Nej,Hona,Under 1 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel,Krogstadsætra,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-5029,Krogstadøra,7016738,248236,7016738,248236,7022339,1207717,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.06.27,1-5029,Skaun (N),1-50,Trøndelag (N),1,1997
KP70168,1997.06.16,Ja,1997.06.17,,,Får,,Norsk kvit sau, ,1997.06.15,1997.06.15,Nej,Hane,Under 1 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel,Krogstadsætra,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-5029,Krogstadsætra,7016738,248236,7016738,248236,7022339,1207717,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.06.27,1-5029,Skaun (N),1-50,Trøndelag (N),1,1997
KP70169,1997.06.16,Ja,1997.06.17,,,Får,,Annan, ,1997.06.16,1997.06.16,Nej,Hane,Under 1 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel,Krogstadsætra,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-5029,Krogstadsætra,7016738,248236,7016738,248236,7022339,1207717,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.06.27,1-5029,Skaun (N),1-50,Trøndelag (N),1,1997
KP70171,1997.06.17,Ja,1997.06.18,,,Får,,Spel, ,1997.06.17,1997.06.17,Ja,Hona,Under 1 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel,Krogstadsætra,Fältkontroll - SNO,Dokumenterad,Nej,Nej,Nej,,1-5029,Krogstadsætra,7016738,248236,7016738,248236,7022339,1207717,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.06.27,1-5029,Skaun (N),1-50,Trøndelag (N),1,1997
KD70333,1997.06.18,Ja,1997.06.18,,,Får,,Norsk kvit sau,,1997.06.18,1997.06.18,Nej,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Osäker,Nej,Nej,Nej,,1-3411,Storstillia,6794741,275340,6794741,275340,6799872,1232067,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3411,Ringsaker (N),1-34,Innlandet (N),1,1997
KD70337,1997.06.18,Ja,1997.06.19,,,Får,,Norsk kvit sau,,1997.06.17,1997.06.17,Nej,Hane,Under 1 år,1,Död,Øremerke,755,NULL,Varg,,,,Fältkontroll - SNO,Osäker,Nej,Nej,Nej,,1-3411,Storstillia,6794741,275340,6794741,275340,6799872,1232067,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3411,Ringsaker (N),1-34,Innlandet (N),1,1997
KD70480,1997.06.21,Ja,1997.06.21,,,Får,,Norsk kvit sau,,1997.06.21,1997.06.21,Nej,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3427,Dolva,6937662,255518,6937662,255518,6943125,1214010,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3427,Tynset (N),1-34,Innlandet (N),1,1997
KD70486,1997.06.23,Ja,1997.06.25,,,Får,,Norsk kvit sau,,1997.06.21,1997.06.21,Ja,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3427,Dolva,6938253,254568,6938253,254568,6943728,1213067,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3427,Tynset (N),1-34,Innlandet (N),1,1997
KD70341,1997.06.25,Ja,1997.06.25,,,Får,,Norsk kvit sau,,1997.06.23,1997.06.23,Ja,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Osäker,Nej,Nej,Nej,,1-3411,Bringsbu,6773684,281440,6773684,281440,6778728,1237910,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3411,Ringsaker (N),1-34,Innlandet (N),1,1997
KD70197,1997.07.06,Ja,1997.07.07,,,Får,,Norsk kvit sau,,1997.07.04,1997.07.04,Nej,Okänt,Under 1 år,1,Död,Øremerke,7021,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3424,Atnkjølen,6858945,275339,6858945,275339,6864114,1232862,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3424,Rendalen (N),1-34,Innlandet (N),1,1997
KD70196,1997.07.07,Ja,1997.07.07,,,Får,,Norsk kvit sau,,1997.07.07,1997.07.07,Nej,Hane,Under 1 år,1,Död,Øremerke,7058,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3423,Fosslia,6860528,271266,6860528,271266,6865749,1228806,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3423,Stor-Elvdal (N),1-34,Innlandet (N),1,1997
KD70201,1997.07.07,Ja,1997.07.08,,,Får,,Norsk kvit sau,,1997.07.07,1997.07.07,Nej,Hane,Under 1 år,1,Död,Øremerke,7045,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3423,Fosslia,6857589,273706,6857589,273706,6862778,1231211,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3423,Stor-Elvdal (N),1-34,Innlandet (N),1,1997
KD70202,1997.07.08,Ja,1997.07.09,,,Får,,Norsk kvit sau,,1997.07.08,1997.07.08,Nej,Hane,Under 1 år,1,Död,Øremerke,7057,NULL,Varg,,,,Fältkontroll - SNO,Osäker,Nej,Nej,Nej,,1-3423,Fosslia,6858252,273064,6858252,273064,6863449,1230577,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3423,Stor-Elvdal (N),1-34,Innlandet (N),1,1997
KD70528,1997.07.09,Ja,1997.07.10,,,Får,,Norsk kvit sau,,1997.07.09,1997.07.09,Ja,Hane,Över 2 år,1,Död,Øremerke,1105,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3424,Glåmlia,6869284,284134,6869284,284134,6874350,1241790,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3424,Rendalen (N),1-34,Innlandet (N),1,1997
KP70375,1997.07.09,Ja,,,,Får,,Norsk kvit sau, ,1997.07.09,1997.07.09,Ja,Hona,Under 1 år,1,Död,Ukjent,,NULL,Varg,,Bete utan stängsel,Skaunakjølen,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-5029,Mellingsetra,7018339,246175,7018339,246175,7023967,1205675,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.06.27,1-5029,Skaun (N),1-50,Trøndelag (N),1,1997
KD70530,1997.07.10,Ja,1997.07.10,,,Får,,Norsk kvit sau,,1997.07.09,1997.07.09,Ja,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3424,Simensbua,6869066,284315,6869066,284315,6874129,1241969,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3424,Rendalen (N),1-34,Innlandet (N),1,1997
KD70385,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Hane,Under 1 år,1,Död,Øremerke,7031,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6840000,353200,6840000,353200,6844192,1310530,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70386,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Hane,Under 1 år,1,Död,Øremerke,7117,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6840000,353200,6840000,353200,6844192,1310530,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70387,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Hona,Under 1 år,1,Död,Øremerke,7013,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6839800,353300,6839800,353300,6843991,1310627,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70388,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Nej,Okänt,Under 1 år,1,Död,Øremerke,9297,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,,,,,,,,,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70390,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Nej,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6838900,354500,6838900,354500,6843075,1311817,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70391,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Nej,Hona,Under 1 år,1,Död,Øremerke,9197,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6839400,354500,6839400,354500,6843576,1311823,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70392,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Hane,Under 1 år,1,Död,Øremerke,9397,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6839700,354100,6839700,354100,6843881,1311427,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70393,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Hane,Under 1 år,1,Död,Øremerke,8397,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6840000,353900,6840000,353900,6844183,1311230,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70394,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Hane,Under 1 år,1,Död,Øremerke,4897,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6840600,353500,6840600,353500,6844789,1310837,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70395,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Nej,Hona,Under 1 år,1,Död,Øremerke,7797,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6840400,353300,6840400,353300,6844591,1310635,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70396,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Nej,Hane,Under 1 år,1,Död,Øremerke,7112,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6840600,353000,6840600,353000,6844795,1310337,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70397,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Hona,Under 1 år,1,Död,Øremerke,6297,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6840700,352900,6840700,352900,6844896,1310238,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70398,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6840700,353400,6840700,353400,6844890,1310739,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70399,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Nej,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6840900,352800,6840900,352800,6845098,1310141,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70400,1997.07.11,Ja,1997.07.11,,,Får,,Spel,,1997.07.11,1997.07.11,Nej,Hona,Under 1 år,1,Död,Øremerke,7016,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6840300,352800,6840300,352800,6844497,1310133,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70534,1997.07.12,Ja,1997.07.12,,,Får,,Norsk kvit sau,,1997.07.09,1997.07.09,Ja,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3424,Simensbua,6869284,284134,6869284,284134,6874350,1241790,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3424,Rendalen (N),1-34,Innlandet (N),1,1997
KD70401,1997.07.12,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Hona,Under 1 år,1,Död,Øremerke,7080,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6839900,353400,6839900,353400,6844090,1310729,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70402,1997.07.12,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Okänt,Under 1 år,1,Död,Øremerke,7068,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6839900,353400,6839900,353400,6844090,1310729,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70403,1997.07.12,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Okänt,Under 1 år,1,Död,Øremerke,7108,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6839100,354000,6839100,354000,6843282,1311319,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70413,1997.07.12,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Nej,Okänt,Under 1 år,1,Död,Øremerke,7048,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6838700,353800,6838700,353800,6842884,1311114,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70405,1997.07.12,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Nej,Okänt,Under 1 år,1,Död,Øremerke,7002,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6838200,354600,6838200,354600,6842374,1311908,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70542,1997.07.13,Ja,1997.07.14,,,Får,,Norsk kvit sau,,1997.07.14,1997.07.14,Nej,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3427,Lauvåsen,6907935,287721,6907935,287721,6912978,1245861,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3427,Tynset (N),1-34,Innlandet (N),1,1997
KD70543,1997.07.13,Ja,1997.07.14,,,Får,,Norsk kvit sau,,1997.07.13,1997.07.13,Nej,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3427,Lauvåsen,6907464,287376,6907464,287376,6912511,1245510,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3427,Tynset (N),1-34,Innlandet (N),1,1997
KD70828,1997.07.14,Ja,1997.07.15,,,Får,,Norsk kvit sau,,1997.07.13,1997.07.13,Nej,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3427,Magnilldalen,6931137,272698,6931137,272698,6936381,1231119,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3427,Tynset (N),1-34,Innlandet (N),1,1997
KD70541,1997.07.14,Ja,1997.07.14,,,Får,,Norsk kvit sau,,1997.07.14,1997.07.14,Nej,Hane,Över 2 år,1,Död,Øremerke,6129,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3427,Lauvåsen,6907555,287485,6907555,287485,6912601,1245620,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3427,Tynset (N),1-34,Innlandet (N),1,1997
KD70404,1997.07.14,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Okänt,Under 1 år,1,Död,Øremerke,2597,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6838400,354500,6838400,354500,6842575,1311811,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70406,1997.07.14,Ja,1997.07.14,,,Får,,Spel,,1997.07.14,1997.07.14,Nej,Hane,Över 2 år,1,Död,Bjelle,,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6837000,355600,6837000,355600,6841161,1312894,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70407,1997.07.14,Ja,1997.07.14,,,Får,,Spel,,1997.07.14,1997.07.14,Nej,Hane,Under 1 år,1,Död,Øremerke,7044,NULL,Varg,,Bete utan stängsel,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3421,Østerfjellet,6836900,355700,6836900,355700,6841060,1312993,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2002.01.29,1-3421,Trysil (N),1-34,Innlandet (N),1,1997
KD70408,1997.07.14,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Okänt,Under 1 år,1,Död,Øremerke,7004,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6839400,354600,6839400,354600,6843574,1311923,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70409,1997.07.14,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Okänt,Under 1 år,1,Död,Øremerke,7121,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6837400,355600,6837400,355600,6841561,1312899,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70410,1997.07.14,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Hona,Under 1 år,1,Död,Øremerke,7040,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6837700,355500,6837700,355500,6841862,1312802,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70411,1997.07.14,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Nej,Okänt,Under 1 år,1,Död,Øremerke,109-97,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6838700,354900,6838700,354900,6842870,1312215,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70412,1997.07.14,Ja,1997.07.14,,,Får,,Spel,,1997.07.14,1997.07.14,Ja,Okänt,Under 1 år,1,Död,Øremerke,8197,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6838900,355000,6838900,355000,6843069,1312317,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70414,1997.07.14,Ja,1997.07.14,,,Får,,Spel,,1997.07.11,1997.07.11,Ja,Okänt,Under 1 år,1,Död,Øremerke,7094,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3425,Østerfjellet,6838800,354500,6838800,354500,6842975,1311816,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3425,Engerdal (N),1-34,Innlandet (N),1,1997
KD70545,1997.07.14,Ja,1997.07.15,,,Får,,Norsk kvit sau,,1997.07.12,1997.07.12,Ja,Hona,Under 1 år,1,Död,Øremerke,7090,NULL,Varg,,,,Fältkontroll - SNO,Bedömd som säker,Nej,Nej,Nej,,1-3427,Butjønna,6929939,273692,6929939,273692,6935170,1232099,WGS84-UTM Zon 33,Mindre bra,,Ja,,Nej,,,2000.09.13,1-3427,Tynset (N),1-34,Innlandet (N),1,1997
